,dataset_description,dataset_id,project_id,table_columns,table_created,table_description,table_id,table_modified,table_num_bytes,table_num_rows,table_partitioning_type,table_type
0,,austin_311,bigquery-public-data,"['unique_key', 'complaint_type', 'complaint_description', 'owning_department', 'source', 'status', 'status_change_date', 'created_date', 'last_update_date', 'close_date', 'incident_address', 'street_number', 'street_name', 'city', 'incident_zip', 'county', 'state_plane_x_coordinate', 'state_plane_y_coordinate', 'latitude', 'longitude', 'location', 'council_district_code', 'map_page', 'map_tile']",2017-05-18 14:29:56,,311_service_requests,2019-01-05 00:58:32,185335640,640525,,TABLE
1,,austin_bikeshare,bigquery-public-data,"['station_id', 'name', 'status', 'latitude', 'longitude', 'location']",2017-05-25 03:43:34,,bikeshare_stations,2019-01-24 10:44:40,7384,94,,TABLE
2,,austin_bikeshare,bigquery-public-data,"['trip_id', 'subscriber_type', 'bikeid', 'start_time', 'start_station_id', 'start_station_name', 'end_station_id', 'end_station_name', 'duration_minutes']",2017-05-25 03:55:42,,bikeshare_trips,2019-01-15 19:33:16,121176818,1077929,,TABLE
3,,austin_crime,bigquery-public-data,"['unique_key', 'address', 'census_tract', 'clearance_date', 'clearance_status', 'council_district_code', 'description', 'district', 'latitude', 'longitude', 'location', 'location_description', 'primary_type', 'timestamp', 'x_coordinate', 'y_coordinate', 'year', 'zipcode']",2017-06-06 17:21:04,,crime,2019-01-24 17:01:41,24135012,116674,,TABLE
4,,austin_incidents,bigquery-public-data,"['unique_key', 'descript', 'date', 'time', 'address', 'longitude', 'latitude', 'location', 'timestamp']",2017-06-05 21:07:26,,incidents_2008,2018-09-24 21:00:31,14861549,179524,,TABLE
5,,austin_incidents,bigquery-public-data,"['unique_key', 'descript', 'date', 'time', 'address', 'longitude', 'latitude', 'location', 'timestamp']",2017-06-05 21:07:31,,incidents_2009,2018-09-24 21:07:17,14707316,178899,,TABLE
6,,austin_incidents,bigquery-public-data,"['unique_key', 'descript', 'date', 'time', 'address', 'longitude', 'latitude', 'location', 'timestamp']",2017-06-05 21:06:50,,incidents_2010,2018-09-24 21:17:20,14236662,174133,,TABLE
7,,austin_incidents,bigquery-public-data,"['unique_key', 'descript', 'date', 'time', 'address', 'longitude', 'latitude', 'location', 'timestamp']",2017-06-05 21:07:10,,incidents_2011,2018-09-24 21:23:59,13354695,164671,,TABLE
8,,austin_incidents,bigquery-public-data,"['unique_key', 'descript', 'date', 'time', 'address', 'longitude', 'latitude', 'location', 'timestamp']",2017-06-05 21:07:01,,incidents_2016,2018-09-24 21:23:52,7818411,95668,,TABLE
9,,austin_waste,bigquery-public-data,"['load_id', 'report_date', 'load_type', 'load_time', 'load_weight', 'dropoff_site', 'route_type', 'route_number']",2017-06-05 17:07:14,,waste_and_diversion,2019-01-24 17:16:42,55307768,626017,,TABLE
10,,baseball,bigquery-public-data,"['gameId', 'seasonId', 'seasonType', 'year', 'startTime', 'gameStatus', 'attendance', 'dayNight', 'duration', 'durationMinutes', 'awayTeamId', 'awayTeamName', 'homeTeamId', 'homeTeamName', 'venueId', 'venueName', 'venueSurface', 'venueCapacity', 'venueCity', 'venueState', 'venueZip', 'venueMarket', 'venueOutfieldDistances', 'homeFinalRuns', 'homeFinalHits', 'homeFinalErrors', 'awayFinalRuns', 'awayFinalHits', 'awayFinalErrors', 'homeFinalRunsForInning', 'awayFinalRunsForInning', 'inningNumber', 'inningHalf', 'inningEventType', 'inningHalfEventSequenceNumber', 'description', 'atBatEventType', 'atBatEventSequenceNumber', 'createdAt', 'updatedAt', 'status', 'outcomeId', 'outcomeDescription', 'hitterId', 'hitterLastName', 'hitterFirstName', 'hitterWeight', 'hitterHeight', 'hitterBatHand', 'pitcherId', 'pitcherFirstName', 'pitcherLastName', 'pitcherThrowHand', 'pitchType', 'pitchTypeDescription', 'pitchSpeed', 'pitchZone', 'pitcherPitchCount', 'hitterPitchCount', 'hitLocation', 'hitType', 'startingBalls', 'startingStrikes', 'startingOuts', 'balls', 'strikes', 'outs', 'rob0_start', 'rob0_end', 'rob0_isOut', 'rob0_outcomeId', 'rob0_outcomeDescription', 'rob1_start', 'rob1_end', 'rob1_isOut', 'rob1_outcomeId', 'rob1_outcomeDescription', 'rob2_start', 'rob2_end', 'rob2_isOut', 'rob2_outcomeId', 'rob2_outcomeDescription', 'rob3_start', 'rob3_end', 'rob3_isOut', 'rob3_outcomeId', 'rob3_outcomeDescription', 'is_ab', 'is_ab_over', 'is_hit', 'is_on_base', 'is_bunt', 'is_bunt_shown', 'is_double_play', 'is_triple_play', 'is_wild_pitch', 'is_passed_ball', 'homeCurrentTotalRuns', 'awayCurrentTotalRuns', 'awayFielder1', 'awayFielder2', 'awayFielder3', 'awayFielder4', 'awayFielder5', 'awayFielder6', 'awayFielder7', 'awayFielder8', 'awayFielder9', 'awayFielder10', 'awayFielder11', 'awayFielder12', 'awayBatter1', 'awayBatter2', 'awayBatter3', 'awayBatter4', 'awayBatter5', 'awayBatter6', 'awayBatter7', 'awayBatter8', 'awayBatter9', 'homeFielder1', 'homeFielder2', 'homeFielder3', 'homeFielder4', 'homeFielder5', 'homeFielder6', 'homeFielder7', 'homeFielder8', 'homeFielder9', 'homeFielder10', 'homeFielder11', 'homeFielder12', 'homeBatter1', 'homeBatter2', 'homeBatter3', 'homeBatter4', 'homeBatter5', 'homeBatter6', 'homeBatter7', 'homeBatter8', 'homeBatter9', 'lineupTeamId', 'lineupPlayerId', 'lineupPosition', 'lineupOrder']",2016-10-24 20:44:06,,games_post_wide,2016-10-24 20:44:06,21524723,8676,,TABLE
11,,baseball,bigquery-public-data,"['gameId', 'seasonId', 'seasonType', 'year', 'startTime', 'gameStatus', 'attendance', 'dayNight', 'duration', 'durationMinutes', 'awayTeamId', 'awayTeamName', 'homeTeamId', 'homeTeamName', 'venueId', 'venueName', 'venueSurface', 'venueCapacity', 'venueCity', 'venueState', 'venueZip', 'venueMarket', 'venueOutfieldDistances', 'homeFinalRuns', 'homeFinalHits', 'homeFinalErrors', 'awayFinalRuns', 'awayFinalHits', 'awayFinalErrors', 'homeFinalRunsForInning', 'awayFinalRunsForInning', 'inningNumber', 'inningHalf', 'inningEventType', 'inningHalfEventSequenceNumber', 'description', 'atBatEventType', 'atBatEventSequenceNumber', 'createdAt', 'updatedAt', 'status', 'outcomeId', 'outcomeDescription', 'hitterId', 'hitterLastName', 'hitterFirstName', 'hitterWeight', 'hitterHeight', 'hitterBatHand', 'pitcherId', 'pitcherFirstName', 'pitcherLastName', 'pitcherThrowHand', 'pitchType', 'pitchTypeDescription', 'pitchSpeed', 'pitchZone', 'pitcherPitchCount', 'hitterPitchCount', 'hitLocation', 'hitType', 'startingBalls', 'startingStrikes', 'startingOuts', 'balls', 'strikes', 'outs', 'rob0_start', 'rob0_end', 'rob0_isOut', 'rob0_outcomeId', 'rob0_outcomeDescription', 'rob1_start', 'rob1_end', 'rob1_isOut', 'rob1_outcomeId', 'rob1_outcomeDescription', 'rob2_start', 'rob2_end', 'rob2_isOut', 'rob2_outcomeId', 'rob2_outcomeDescription', 'rob3_start', 'rob3_end', 'rob3_isOut', 'rob3_outcomeId', 'rob3_outcomeDescription', 'is_ab', 'is_ab_over', 'is_hit', 'is_on_base', 'is_bunt', 'is_bunt_shown', 'is_double_play', 'is_triple_play', 'is_wild_pitch', 'is_passed_ball', 'homeCurrentTotalRuns', 'awayCurrentTotalRuns', 'awayFielder1', 'awayFielder2', 'awayFielder3', 'awayFielder4', 'awayFielder5', 'awayFielder6', 'awayFielder7', 'awayFielder8', 'awayFielder9', 'awayFielder10', 'awayFielder11', 'awayFielder12', 'awayBatter1', 'awayBatter2', 'awayBatter3', 'awayBatter4', 'awayBatter5', 'awayBatter6', 'awayBatter7', 'awayBatter8', 'awayBatter9', 'homeFielder1', 'homeFielder2', 'homeFielder3', 'homeFielder4', 'homeFielder5', 'homeFielder6', 'homeFielder7', 'homeFielder8', 'homeFielder9', 'homeFielder10', 'homeFielder11', 'homeFielder12', 'homeBatter1', 'homeBatter2', 'homeBatter3', 'homeBatter4', 'homeBatter5', 'homeBatter6', 'homeBatter7', 'homeBatter8', 'homeBatter9', 'lineupTeamId', 'lineupPlayerId', 'lineupPosition', 'lineupOrder']",2016-10-24 20:43:41,,games_wide,2016-10-24 20:43:41,1893661565,761618,,TABLE
12,,baseball,bigquery-public-data,"['gameId', 'gameNumber', 'seasonId', 'year', 'type', 'dayNight', 'duration', 'duration_minutes', 'homeTeamId', 'homeTeamName', 'awayTeamId', 'awayTeamName', 'startTime', 'attendance', 'status', 'created']",2016-10-24 20:43:18,,schedules,2016-10-24 20:43:18,582807,2431,,TABLE
13,,bitcoin_blockchain,bigquery-public-data,"['block_id', 'previous_block', 'merkle_root', 'timestamp', 'difficultyTarget', 'nonce', 'version', 'work_terahash', 'work_error', 'transactions', 'row_number']",2018-02-13 02:05:58,,blocks,2019-01-24 19:48:33,552302035460,540584,,TABLE
14,,bitcoin_blockchain,bigquery-public-data,"['timestamp', 'transaction_id', 'inputs', 'outputs', 'block_id', 'previous_block', 'merkle_root', 'nonce', 'version', 'work_terahash', 'work_error']",2018-01-30 17:41:12,,transactions,2019-01-24 19:52:30,630440706916,340311544,,TABLE
15,"Bureau of Labor Statistics including CPI (inflation), employment, unemployment, and wage data.",bls,bigquery-public-data,"['series_id', 'year', 'period', 'value', 'footnote_codes', 'survey_abbreviation', 'seasonal_code', 'periodicity_code', 'area_code', 'area_name', 'item_code', 'item_name', 'date']",2016-12-14 22:31:25,,c_cpi_u,2019-01-24 19:49:59,706842,7005,,TABLE
16,"Bureau of Labor Statistics including CPI (inflation), employment, unemployment, and wage data.",bls,bigquery-public-data,"['series_id', 'year', 'period', 'value', 'footnote_codes', 'survey_abbreviation', 'seasonal_code', 'periodicity_code', 'area_code', 'area_name', 'item_code', 'item_name', 'date']",2016-12-14 22:36:31,,cpi_u,2019-01-24 19:37:15,89171457,785502,,TABLE
17,"Bureau of Labor Statistics including CPI (inflation), employment, unemployment, and wage data.",bls,bigquery-public-data,"['series_id', 'year', 'period', 'value', 'footnote_codes', 'date', 'series_title']",2016-12-14 22:39:00,,employment_hours_earnings,2019-01-24 19:53:59,1220253735,7570819,,TABLE
18,"Bureau of Labor Statistics including CPI (inflation), employment, unemployment, and wage data.",bls,bigquery-public-data,"['series_id', 'supersector_code', 'industry_code', 'data_type_code', 'seasonal', 'series_title', 'footnote_codes', 'begin_year', 'begin_period', 'end_year', 'end_period']",2017-01-06 19:55:02,,employment_hours_earnings_series,2019-01-24 19:44:25,4876219,26425,,TABLE
