num_columns,day_of_week,day,month,year,minute,hour,qhr,num_days_since_start,num_hours_since_start,num_mins_since_start,lineage,table_name,cluster_labels
398,3,18,5,2017,29,14,57,432,10381,622888,austin_311,311_service_requests,3
69,3,25,5,2017,43,3,14,439,10539,632321,austin_bikeshare,bikeshare_stations,71
154,3,25,5,2017,55,3,15,439,10539,632333,austin_bikeshare,bikeshare_trips,71
272,1,6,6,2017,21,17,69,451,10840,650419,austin_crime,crime,25
103,0,5,6,2017,7,21,84,450,10820,649205,austin_incidents,incidents_2008,25
103,0,5,6,2017,7,21,84,450,10820,649205,austin_incidents,incidents_2009,25
103,0,5,6,2017,6,21,84,450,10820,649204,austin_incidents,incidents_2010,25
103,0,5,6,2017,7,21,84,450,10820,649205,austin_incidents,incidents_2011,25
103,0,5,6,2017,7,21,84,450,10820,649205,austin_incidents,incidents_2016,25
113,0,5,6,2017,7,17,68,450,10816,648965,austin_waste,waste_and_diversion,25
2339,0,24,10,2016,44,20,82,226,5444,326622,baseball,games_post_wide,55
2339,0,24,10,2016,43,20,82,226,5444,326621,baseball,games_wide,55
204,0,24,10,2016,43,20,82,226,5444,326621,baseball,schedules,55
159,1,13,2,2018,5,2,8,703,16873,1012384,bitcoin_blockchain,blocks,33
148,1,30,1,2018,41,17,70,689,16553,993159,bitcoin_blockchain,transactions,33
178,2,14,12,2016,31,22,90,277,6669,400169,bls,c_cpi_u,1
178,2,14,12,2016,36,22,90,277,6670,400174,bls,cpi_u,1
82,2,14,12,2016,39,22,90,277,6670,400177,bls,employment_hours_earnings,1
170,4,6,1,2017,55,19,79,300,7219,433133,bls,employment_hours_earnings_series,36
82,2,14,12,2016,37,22,90,277,6670,400175,bls,unemployment_cps,1
574,2,14,12,2016,37,22,90,277,6670,400176,bls,unemployment_cps_series,1
82,2,14,12,2016,35,22,90,277,6670,400174,bls,wm,1
246,4,6,1,2017,54,19,79,300,7219,433133,bls,wm_series,36
309,2,11,10,2017,53,21,87,578,13893,833571,census_bureau_construction,new_residential_construction,50
281,3,20,4,2017,12,18,72,404,9713,582790,census_bureau_international,age_specific_fertility_rates,34
137,3,20,4,2017,12,18,72,404,9713,582790,census_bureau_international,birth_death_growth_rates,34
48,3,20,4,2017,12,18,72,404,9713,582790,census_bureau_international,country_names_area,34
62,3,20,4,2017,13,18,72,404,9713,582791,census_bureau_international,midyear_population,34
185,3,20,4,2017,14,18,72,404,9713,582792,census_bureau_international,midyear_population_5yr_age_sex,34
2170,3,20,4,2017,14,18,72,404,9713,582792,census_bureau_international,midyear_population_age_sex,34
68,2,26,4,2017,30,18,74,410,9857,591448,census_bureau_international,midyear_population_agespecific,26
349,3,20,4,2017,12,18,72,404,9713,582790,census_bureau_international,mortality_life_expectancy,34
75,4,7,4,2017,30,23,94,391,9406,564388,census_bureau_usa,population_by_zip_2000,10
75,4,7,4,2017,30,23,94,391,9406,564389,census_bureau_usa,population_by_zip_2010,10
95,1,31,7,2018,24,22,89,871,20925,1255522,census_fips_codes,counties_2016,59
75,4,10,8,2018,26,19,77,881,21162,1269744,census_fips_codes,states_2016,16
280,2,12,4,2017,27,19,77,396,9522,571345,chicago_crime,crime,64
394,2,12,4,2017,35,19,78,396,9523,571353,chicago_taxi_trips,taxi_trips,64
260,1,1,11,2016,45,17,71,234,5633,337964,cloud_storage_geo_index,landsat_index,23
216,1,1,11,2016,37,17,70,234,5633,337955,cloud_storage_geo_index,sentinel_2_index,23
498,0,10,4,2017,4,22,88,394,9477,568622,cms_codes,hcpcs,10
59,0,10,4,2017,4,22,88,394,9477,568623,cms_codes,icd9_diagnoses,10
59,0,10,4,2017,5,22,88,394,9477,568623,cms_codes,icd9_procedures,10
407,4,19,5,2017,25,19,77,433,10410,624623,cms_medicare,home_health_agencies_2013,3
1839,4,19,5,2017,25,19,77,433,10410,624623,cms_medicare,home_health_agencies_2014,3
1968,4,19,5,2017,23,19,77,433,10410,624621,cms_medicare,hospice_providers_2014,3
929,5,16,9,2017,26,1,5,553,13272,796344,cms_medicare,hospital_general_info,39
274,3,13,4,2017,36,17,70,397,9545,572674,cms_medicare,inpatient_charges_2011,64
274,3,13,4,2017,36,17,70,397,9545,572674,cms_medicare,inpatient_charges_2012,64
274,3,13,4,2017,36,17,70,397,9545,572674,cms_medicare,inpatient_charges_2013,64
274,2,12,4,2017,53,19,79,396,9523,571371,cms_medicare,inpatient_charges_2014,64
274,0,18,9,2017,0,14,56,555,13333,799978,cms_medicare,inpatient_charges_2015,24
311,4,19,5,2017,21,19,77,433,10410,624619,cms_medicare,nursing_facilities_2013,3
1331,4,19,5,2017,8,19,76,433,10410,624606,cms_medicare,nursing_facilities_2014,3
237,3,13,4,2017,36,17,70,397,9545,572674,cms_medicare,outpatient_charges_2011,64
237,3,13,4,2017,36,17,70,397,9545,572675,cms_medicare,outpatient_charges_2012,64
