num_columns,day_of_week,day_of_week,day,day,month,month,year,year,minute,minute,hour,hour,qhr,num_days_since_start,num_hours_since_start,num_mins_since_start,lineage,table_name,cluster_labels,col_names
398,3,0,18,0,5,0,2017,0,29,0,14,0,57,432,10381,622888,austin_311,311_service_requests,24,"['unique_key', 'complaint_type', 'complaint_description', 'owning_department', 'source', 'status', 'status_change_date', 'created_date', 'last_update_date', 'close_date', 'incident_address', 'street_number', 'street_name', 'city', 'incident_zip', 'county', 'state_plane_x_coordinate', 'state_plane_y_coordinate', 'latitude', 'longitude', 'location', 'council_district_code', 'map_page', 'map_tile']"
69,3,0,25,0,5,0,2017,0,43,0,3,0,14,439,10539,632321,austin_bikeshare,bikeshare_stations,70,"['station_id', 'name', 'status', 'latitude', 'longitude', 'location']"
154,3,0,25,0,5,0,2017,0,55,0,3,0,15,439,10539,632333,austin_bikeshare,bikeshare_trips,70,"['trip_id', 'subscriber_type', 'bikeid', 'start_time', 'start_station_id', 'start_station_name', 'end_station_id', 'end_station_name', 'duration_minutes']"
272,1,0,6,0,6,0,2017,1,21,0,17,0,69,451,10840,650419,austin_crime,crime,13,"['unique_key', 'address', 'census_tract', 'clearance_date', 'clearance_status', 'council_district_code', 'description', 'district', 'latitude', 'longitude', 'location', 'location_description', 'primary_type', 'timestamp', 'x_coordinate', 'y_coordinate', 'year', 'zipcode']"
103,0,0,5,0,6,0,2017,0,7,0,21,0,84,450,10820,649205,austin_incidents,incidents_2008,13,"['unique_key', 'descript', 'date', 'time', 'address', 'longitude', 'latitude', 'location', 'timestamp']"
103,0,0,5,0,6,0,2017,0,7,0,21,0,84,450,10820,649205,austin_incidents,incidents_2009,13,"['unique_key', 'descript', 'date', 'time', 'address', 'longitude', 'latitude', 'location', 'timestamp']"
103,0,0,5,0,6,0,2017,0,6,0,21,0,84,450,10820,649204,austin_incidents,incidents_2010,13,"['unique_key', 'descript', 'date', 'time', 'address', 'longitude', 'latitude', 'location', 'timestamp']"
103,0,0,5,0,6,0,2017,0,7,0,21,0,84,450,10820,649205,austin_incidents,incidents_2011,13,"['unique_key', 'descript', 'date', 'time', 'address', 'longitude', 'latitude', 'location', 'timestamp']"
103,0,0,5,0,6,0,2017,0,7,0,21,0,84,450,10820,649205,austin_incidents,incidents_2016,13,"['unique_key', 'descript', 'date', 'time', 'address', 'longitude', 'latitude', 'location', 'timestamp']"
113,0,0,5,0,6,0,2017,0,7,0,17,0,68,450,10816,648965,austin_waste,waste_and_diversion,13,"['load_id', 'report_date', 'load_type', 'load_time', 'load_weight', 'dropoff_site', 'route_type', 'route_number']"
